公司,资产标签,型号,品牌,类别：,生产厂家,位置,状态
腾讯,TKMB18010416,"OPPO A57",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1912023E,BLN-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2005025N,"VIVO X9S PLUS",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB201000T5,PCAT00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB2004062W,"REDMI 8",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200500LA,AGS2-W09,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB19100095,"VIVO Y79A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB180300K3,BLN-AL40,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180303H6,"REDMI 4X",XIAOMI,Android,Xiaomi,B2-G02-0410,"上线 (deployable)"
腾讯,TKMB191202N7,LDN-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1807023J,LLD-AL20,HONOR,Android,HUAWEI,A1-902-测试服设备,"上线 (deployed)"
腾讯,TKMB20040088,BKL-AL00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200500NG,CLT-AL01,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB20050257,"OPPO R9ST",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB180303S6,NEM-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190901J5,VCE-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB19050921,"VIVO Y31A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB191207AF,HRY-AL00A,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2012030N,PCRM00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB200302M4,VOG-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191201A1,"REDMI 6",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200801L1,V2002A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB15094301,SM-G9200,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB190901TR,RMX1901,REALME,Android,Realme,,"新增 (deployable)"
腾讯,TKMB191207TE,SOV39,KDDI,Android,Sony,,"新增 (deployable)"
腾讯,TKMB1912073F,COL-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1806023J,NX531J,NUBIA,Android,nubia,,"新增 (deployable)"
腾讯,TKMB201001NA,SM-G9250,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB1703036K,SM-N9006,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB191000A9,SM-A320F,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB19050946,ALP-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1909025P,"MI 8 LITE",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1912074X,"REDMI 6",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200405M6,"HUAWEI MLA-AL10",HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180601ME,"VIVO Y66I A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1907012R,V1821T,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB17120HH9,"OPPO R9M",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB18110008,V1732A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB190200A0,"VIVO X21UD",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB19120124,PCKM80,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1803009F,VKY-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200400AN,"ONEPLUS A6000",ONEPLUS,Android,OnePlus,,"新增 (deployable)"
